id,cluster
001_Katy Perry - Roar_clip0,4
001_Katy Perry - Roar_clip1,4
001_Katy Perry - Roar_clip2,4
001_Katy Perry - Roar_clip3,4
001_Katy Perry - Roar_clip4,4
001_Katy Perry - Roar_clip5,4
001_Katy Perry - Roar_clip6,4
001_Katy Perry - Roar_clip7,7
002_OneRepublic - Counting Stars_clip0,6
002_OneRepublic - Counting Stars_clip1,0
002_OneRepublic - Counting Stars_clip2,8
002_OneRepublic - Counting Stars_clip3,8
002_OneRepublic - Counting Stars_clip4,8
002_OneRepublic - Counting Stars_clip5,7
002_OneRepublic - Counting Stars_clip6,6
002_OneRepublic - Counting Stars_clip7,8
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip0,6
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip1,4
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip2,4
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip3,4
003_Major Lazer & DJ Snake - Lean On (feat. MØ) [Official 4K Music Video]_clip4,4
004_Taylor Swift - Blank Space_clip0,5
004_Taylor Swift - Blank Space_clip1,3
004_Taylor Swift - Blank Space_clip2,7
004_Taylor Swift - Blank Space_clip3,5
004_Taylor Swift - Blank Space_clip4,4
004_Taylor Swift - Blank Space_clip5,7
004_Taylor Swift - Blank Space_clip6,4
004_Taylor Swift - Blank Space_clip7,7
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip0,6
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip1,8
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip2,8
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip3,0
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip4,0
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip5,5
005_Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video]_clip6,7
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip0,5
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip1,9
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip2,9
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip3,9
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip4,4
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip5,9
006_Ellie Goulding - Love Me Like You Do (Official Video)_clip6,9
007_Shawn Mendes - Treat You Better_clip0,9
007_Shawn Mendes - Treat You Better_clip1,6
007_Shawn Mendes - Treat You Better_clip2,9
007_Shawn Mendes - Treat You Better_clip3,9
007_Shawn Mendes - Treat You Better_clip4,9
007_Shawn Mendes - Treat You Better_clip5,9
007_Shawn Mendes - Treat You Better_clip6,2
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip0,6
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip1,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip2,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip3,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip4,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip5,1
008_The Chainsmokers & Coldplay - Something Just Like This (Official Lyric Video)_clip6,1
009_Imagine Dragons - Believer (Official Music Video)_clip0,5
009_Imagine Dragons - Believer (Official Music Video)_clip1,8
009_Imagine Dragons - Believer (Official Music Video)_clip2,7
009_Imagine Dragons - Believer (Official Music Video)_clip3,5
009_Imagine Dragons - Believer (Official Music Video)_clip4,7
009_Imagine Dragons - Believer (Official Music Video)_clip5,2
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip0,6
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip1,9
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip2,5
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip3,9
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip4,8
010_The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya_clip5,8
011_Rihanna - Diamonds_clip0,0
011_Rihanna - Diamonds_clip1,8
011_Rihanna - Diamonds_clip2,8
011_Rihanna - Diamonds_clip3,1
011_Rihanna - Diamonds_clip4,8
011_Rihanna - Diamonds_clip5,8
011_Rihanna - Diamonds_clip6,1
011_Rihanna - Diamonds_clip7,1
012_Imagine Dragons - Thunder_clip0,7
012_Imagine Dragons - Thunder_clip1,3
012_Imagine Dragons - Thunder_clip2,3
012_Imagine Dragons - Thunder_clip3,3
012_Imagine Dragons - Thunder_clip4,3
012_Imagine Dragons - Thunder_clip5,3
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip0,5
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip1,4
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip2,3
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip3,6
013_Bruno Mars - Just The Way You Are (Official Music Video)_clip4,4
